General;;;ALL_GROUP;Basis-Parameter;Basis-Parameter;1;;;;;;;;;;;;;;;;;;;;;;;;;
;BEAMLINE_ID;;ALL_GROUP;Beamline-ID;ID einer Strahlführung;1;ja;nein;ja;nein;$00000410;nein;nein;7;0;;;1;1001;;;;;;;;;;;;
;A0_PRESTRIP;;ALL_GROUP;A0 (Kern/Teilchenmasse);Teilchenmasse A0 (neutral);1;ja;nein;ja;nein;$00000000;nein;ja;5;5;u;u ;1;12;;;99;3;nein;;;;0;0;nein;
;A_PRESTRIP;;ALL_GROUP;A (Kern/Teilchenmasse);Teilchenmasse A (ionisiert);1;nein;ja;ja;nein;$00000020;nein;nein;5;5;u;u ;1;11.998;;;99;3;nein;;;;0;0;nein;
;Z_PRESTRIP;;ALL_GROUP;Z (Kern/Teilchenladung);Kernladungszahl, Anzahl der |Protonen des Strahlteilchens;1;ja;nein;ja;nein;$00000000;nein;ja;7;0;;;1;6;;;99;3;nein;;;;0;0;nein;
;Q_PRESTRIP;;ALL_GROUP;Q (vor Stripper);Ladungszustand des Soll-Strahlteilchens;1;ja;nein;ja;nein;$00000000;nein;ja;7;0; ;;1;4;;;99;3;nein;;;;0;0;nein;
;A0_POSTSTRIP;;ALL_GROUP;A0 (Kernmasse);Kernmasse A0 (neutral);1;ja;nein;ja;nein;$00000000;nein;ja;5;5;u;u ;1;12;;;99;3;nein;;;;0;0;nein;
;A_POSTSTRIP;;ALL_GROUP;A (Kernmasse);Kernmasse A (ionisiert);1;nein;ja;ja;nein;$00000020;nein;nein;5;5;u;u ;1;11.997;;;99;3;nein;;;;0;0;nein;
;Z_POSTSTRIP;;ALL_GROUP;Z (Kernladung);Kernladungszahl (Anzahl Protonen);1;ja;nein;ja;nein;$00000000;nein;ja;7;0;;;1;6;;;99;3;nein;;;;0;0;nein;
;Q_POSTSTRIP;;ALL_GROUP;Q (hinter Stripper);Ladungszustand des Soll-Strahlteilchens;1;ja;nein;ja;nein;$00000000;nein;ja;7;0; ;;1;6;;;99;3;nein;;;;0;0;nein;
Timing;;;ALL_GROUP;Timing-Parameter;Timing-Parameter;1;;;;;;;;;;;;;;;;;;;;;;;;;
;ENA_TIMING_LINAC;ERZZ;ALL_GROUP;TIMING LINAC;Linac Timing (Ja/Nein);1;ja;nein;ja;nein;$00000000;nein;nein;1;0;;;1;1;;;99;3;nein;;;;0;0;nein;
;ENA_TIMING_SYNC;ERZZ;ALL_GROUP;TIMING SYNC;Synchrotron Timing (Ja/Nein);1;ja;nein;ja;nein;$00000000;nein;nein;1;0;;;1;1;;;99;3;nein;;;;0;0;nein;
;ENA_CYCLIC;;ALL_GROUP;CYCLIC MODE;Cyclic Mode (Ja/Nein);1;ja;nein;ja;nein;$00000000;nein;nein;1;0;;;1;1;;;99;3;nein;;;;0;0;nein;
;Tref_MPULS;;ALL_GROUP;MPuls: Start;Referenzzeitpunkt: Beginn Makropuls nach evt_RTBL_Start;1;ja;nein;ja;nein;$00000000;nein;nein;5;3;µs;ms;0.001;20;;;99;3;nein;;;;0;0;nein;
;Thigh_MCHOP;;ALL_Group;MPuls: Länge;Länge Makropuls;1;ja;nein;ja;nein;$00000000;nein;nein;7;0;µs;µs;1;300;;;99;3;nein;;;;0;0;nein;
;Toff_Ipuls;;SYNC_GROUP;Toff_Ipuls;Abstand Injektionspuls |zum Beginn Bumperflanke;1;ja;nein;ja;nein;$00000000;nein;nein;5;1;µs;µs;1;10;;;99;3;nein;;;;0;0;nein;
;Tslope_fall_Ibump;;SYNC_GROUP;Tslope_fall_Ibump;Theoretische Abfallzeit bei |linearem Verlauf ohne Verrundung;1;ja;nein;ja;nein;$00000000;nein;nein;5;1;µs;µs;1;50;;;99;3;nein;;;;0;0;nein;
;Tfall_Ibump;;SYNC_GROUP;Tfall_Ibump;Abfallzeit ab Referenzpunkt Injektionspuls;1;nein;ja;ja;nein;$00000020;nein;nein;5;1;µs;µs;1;;;;0;3;nein;;;;0;0;nein;
;Tdelay_fall_Ibump;;SYNC_GROUP;Tdelay_fall_Ibump;Beginn abfallende Bumperrampe;1;nein;ja;ja;nein;$00000020;nein;nein;5;1;µs;µs;1;;;;0;3;nein;;;;0;0;nein;
;Toff_ICHOP;;ALL_Group;IPuls: Offset;Beginn Injektionspuls relativ zu Beginn Makropuls;1;ja;nein;ja;nein;$00000000;nein;nein;7;0;µs;µs;1;100;;;99;3;nein;;;;0;0;nein;
;Thigh_ICHOP;;ALL_Group;IPuls: Länge;Länge Injektionspuls;1;ja;nein;ja;nein;$00000000;nein;nein;5;0;µs;µs;1;35;;;99;3;nein;;;;0;0;nein;
LEBT QL/QR;;;LRNI_GROUP;LEBT QL/QR;LEBT QL/QR;1;;;;;;;;;;;;;;;;;;;;;;;;;
;E_SOURCE;;LRNI_GROUP;E (LEBT);Strahlenergie des Sollteilchens hinter der Ionenquelle;1;ja;nein;ja;nein;$00000000;nein;ja;5;3;MeV/u;keV/u;1000;8;;;99;3;nein;;;;0;0;nein;6
6;BRho_SOURCE;;LRNI_GROUP;BRho (LEBT);Mag. Steifigkeit des Sollteilchens hinter der Ionenquelle;1;nein;ja;ja;nein;$00000020;nein;nein;5;4;Tm;Tm;1;0.0386;;;0;3;nein;;;;0;0;nein;
;ERho_SOURCE;;LRNI_GROUP;ERho (LEBT);Elektr. Steifigkeit des Sollteilchens |hinter der Ionenquelle;1;nein;ja;ja;nein;$00000020;nein;nein;5;3;V;kV;0.001;32;;;0;3;nein;;;;0;0;nein;
;beta_LEBT;;LRNI_GROUP;beta (LEBT);relativistische Geschwindigkeit;1;nein;ja;ja;nein;$00000020;nein;nein;5;5;;%;100;0.004;;;0;3;nein;;;;0;0;nein;
;Uext_SOURCE;;LRNI_GROUP;Uext (Quelle);Extraktionsspannung der Ionenquelle;1;nein;ja;ja;nein;$00000020;nein;nein;5;2;V;kV;0.001;24;;;0;3;nein;;;;0;0;nein;
N1;;;N1_GROUP;N1;N1;1;;;;;;;;;;;;;;;;;;;;;;;;;
;SOURCELINE;;LRNI_GROUP;Quellenzweig;QL=1 / QR=2;1;ja;nein;ja;nein;$00000010;nein;nein;7;0;;;;1;;;99;;nein;;;;0;0;nein;
;ENABLE_MChop;;LRNI_GROUP;Mchop: Enabled;;1;ja;nein;ja;nein;$00000000;nein;nein;1;0;;;;1;;;99;;nein;;;;0;0;nein;
I1;;;I1_GROUP;I1;I1;1;;;;;;;;;;;;;;;;;;;;;;;;nein;
;E_RFQEXIT;;I1_GROUP;E (RFQ-Exit);Strahlenergie hinter RFQ;1;ja;nein;ja;nein;$00000000;nein;nein;5;2;MeV/u;keV/u;1000;400;;;99;3;nein;;;;0;0;nein;7
;E_DTLQT2;;I1_GROUP;E (DTL-QT2);Strahlenergie hinter I1QT2X;1;ja;nein;ja;nein;$00000000;nein;nein;5;2;MeV/u;keV/u;1000;961;;;99;3;nein;;;;0;0;nein;8
;E_DTLQT3;;I1_GROUP;E (DTL-QT3);Strahlenergie hinter I1QT3X;1;ja;nein;ja;nein;$00000000;nein;nein;5;2;MeV/u;keV/u;1000;2193;;;99;3;nein;;;;0;0;nein;9
;E_DTLQT4;;I1_GROUP;E (DTL-QT4);Strahlenergie hinter I1QT4X;1;ja;nein;ja;nein;$00000000;nein;nein;5;2;MeV/u;keV/u;1000;4577;;;99;3;nein;;;;0;0;nein;10
;E_DTLEXIT;;I1_GROUP;E (IH-Exit);Strahlenergie hinter IH-Struktur;1;ja;nein;ja;nein;$00000000;nein;nein;5;2;MeV/u;keV/u;1000;7000;;;99;3;nein;;;;0;0;nein;11
7;BRho_RFQEXIT;;I1_GROUP;BRho (RFQ-Exit);mag. Steifigkeit hinter RFQ;1;nein;ja;ja;nein;$00000020;nein;nein;5;4;Tm;Tm;1;0.2729;;;0;3;nein;;;;0;0;nein;
8;BRho_DTLQT2;;I1_GROUP;BRho (DTL-QT2);Magn. Steifigkeit hinter I1QT2X;1;nein;ja;ja;nein;$00000020;nein;nein;5;4;Tm;Tm;1;0.4231;;;0;3;nein;;;;0;0;nein;
9;BRho_DTLQT3;;I1_GROUP;BRho (DTL-QT3);Magn. Steifigkeit hinter I1QT3X;1;nein;ja;ja;nein;$00000020;nein;nein;5;4;Tm;Tm;1;0.6394;;;0;3;nein;;;;0;0;nein;
10;BRho_DTLQT4;;I1_GROUP;BRho (DTL-QT4);Magn. Steifigkeit hinter I1QT4X;1;nein;ja;ja;nein;$00000020;nein;nein;5;4;Tm;Tm;1;0.9243;;;0;3;nein;;;;0;0;nein;
11;BRho_DTLEXIT;;I1_GROUP;BRho (IH-Exit);Magn. Steifigheit hinter IH-Struktur;1;nein;ja;ja;nein;$00000020;nein;nein;5;4;Tm;Tm;1;1.1438;;;0;3;nein;;;;0;0;nein;
;beta_DTLEXIT;;I1_GROUP;beta (IH-Exit);relativistische Geschwindigkeit;1;nein;ja;ja;nein;$00000020;nein;nein;5;5;;%;100;0.122;;;0;3;nein;;;;0;0;nein;
MEBT;;;M1_GROUP;MEBT;MEBT;1;;;;;;;;;;;;;;;;;;;;;;;;;
;dE_STRIP;;I1_GROUP;dE (Stripper);Energieverlust in Stripperfolie;1;ja;nein;ja;nein;$00000000;nein;nein;5;3;MeV/u;keV/u;1000;-4.5;;;99;3;nein;;;;0;0;ja;
;dE_MEBT;;I1_GROUP;dE (MEBT);Energieanpassung;1;ja;nein;ja;nein;$00000000;nein;nein;5;3;MeV/u;keV/u;1000;0;;;99;3;nein;;;;0;0;ja;
;E_MEBT;;M1_GROUP;E (MEBT);Strahlenergie in MEBT hinter Stripper;1;nein;ja;ja;nein;$00000020;nein;nein;5;3;MeV/u;MeV/u;1;7;;;0;;nein;;;;0;0;;12
12;BRho_MEBT;;M1_GROUP;BRho (MEBT);Mag. Steifigkeit in MEBT hinter Stripper;1;nein;ja;ja;nein;$00000020;nein;nein;5;4;Tm;Tm;1;1.1438;;;0;;nein;;;;0;0;;
;ERho_MEBT;;M1_GROUP;ERho (MEBT);Elektr. Steifigkeit in MEBT hinter Stripper;1;nein;ja;ja;nein;$00000020;nein;nein;5;3;V;MV;1E-07;27;;;0;;nein;;;;0;0;;
;beta_MEBT;;M1_GROUP;beta (MEBT);relativistische Geschwindigkeit;1;nein;ja;ja;nein;$00000020;nein;nein;5;5;;%;100;0.122;;;0;3;nein;;;;0;0;nein;
SYNC;;;SYNC_GROUP;Synchrotron;Synchrotron;1;;;;;;;;;;;;;;;;;;;;;;;;;
;dE_INJ;;SYNC_GROUP;dE_INJ;Korrektur Injektionsenergie;1;nein;ja;ja;nein;$00000020;nein;nein;5;1;MeV/u;keV/u;1000;0;;;0;3;nein;;;;0;0;nein;
;E_INJ;;SYNC_GROUP;E_Inj;Injektionsenergie;1;ja;nein;ja;nein;$00000000;nein;nein;5;5;MeV/u;MeV/u;1;7;;;99;3;nein;;;;0;0;nein;13
